Date,Open,High,Low,Close,Adj Close,Volume
4/6/2022,2153.75,2182.850098,2124.199951,2160,2159.082275,2259018
4/7/2022,2165.949951,2214.949951,2081.25,2099.050049,2098.158203,3499044
4/8/2022,2115,2176,2105.25,2170.949951,2170.027588,1924054
4/11/2022,2181.850098,2200,2158.5,2180.199951,2179.273438,1615715
4/12/2022,2188,2219,2155,2196.949951,2196.016357,2632324
4/13/2022,2210,2217.149902,2173.449951,2199.449951,2198.515381,992512
4/18/2022,2179.800049,2240,2156.75,2233.850098,2232.900879,1747434
4/19/2022,2245,2255,2140.100098,2168.300049,2167.378662,1639219
4/20/2022,2178,2207.949951,2161.899902,2183.949951,2183.021973,1119025
4/21/2022,2216,2293.550049,2203.899902,2286.350098,2285.378662,2243636
4/22/2022,2297,2306,2265,2273.300049,2272.333984,1786042
4/25/2022,2259.949951,2295,2242.600098,2284.199951,2283.229248,1683622
4/26/2022,2297,2413.899902,2295.100098,2395.300049,2394.282227,3199358
4/27/2022,2404.949951,2420.949951,2325,2334.100098,2333.108398,2559876
4/28/2022,2359.850098,2389.899902,2336.300049,2378.550049,2377.539307,1679893
4/29/2022,2389,2394.149902,2301.5,2332,2331.009033,1916180
5/2/2022,2325,2362.300049,2311,2339.5,2338.505859,1006544
5/4/2022,2358.699951,2362.899902,2233.050049,2253.800049,2252.842285,1744686
5/5/2022,2270,2303.800049,2236,2255.399902,2254.44165,1636796
5/6/2022,2210,2262,2200,2247.699951,2246.744873,1161579
5/9/2022,2229.5,2244.199951,2180,2197.649902,2196.716064,1450886
5/10/2022,2190,2220,2097.5,2109.5,2108.603516,1471866
5/11/2022,2109.600098,2157.75,2077,2119.300049,2118.399414,1397917
5/12/2022,2103,2113.600098,2011.050049,2045.199951,2044.330933,1553685
5/13/2022,2084.5,2135,2035.300049,2054.149902,2053.2771,1547617
5/16/2022,2082.649902,2141.949951,2057.649902,2105.899902,2105.005127,1742552
5/17/2022,2133.050049,2192.25,2119.399902,2184.850098,2183.921631,1061085
5/18/2022,2199.699951,2216.899902,2172,2181.100098,2180.17334,1296983
5/19/2022,2145,2154.75,2097.600098,2114.75,2113.851318,986930
5/20/2022,2159,2232.399902,2151,2219.550049,2218.606934,1444803
5/23/2022,2231.75,2245,2155.649902,2170.649902,2169.727539,1455450
5/24/2022,2161,2178.899902,2142.550049,2160.199951,2159.281982,1008943
5/25/2022,2168,2181.449951,2066.199951,2074.149902,2073.268555,1382448
5/26/2022,2077,2088,1906.199951,2046.400024,2045.530518,4967514
5/27/2022,2080,2094.300049,2047.699951,2080.149902,2079.266113,1354005
5/30/2022,2120,2175,2102,2165.649902,2164.729736,1384584
5/31/2022,2160,2225.800049,2150.399902,2167.550049,2166.628906,2861556
6/1/2022,2169.949951,2189.300049,2126,2150.899902,2149.98584,1448212
6/2/2022,2155,2218,2142.300049,2209.399902,2208.461182,1855167
6/3/2022,2235,2242.25,2176.050049,2190,2189.069336,1651685
